Industry,Number of Companies,Product or Business Innovation,Product Innovation,Business Process Innovation
Food," 18,379 ",34.3,13.2,29.7
Beverage and tobacco products," 8,381 ",42.3,19.1,36.3
"Textile, apparel, and leather products"," 10,205 ",33.2,15.9,28.4
Wood products," 10,340 ",25.4,9.3,22.5
Paper ," 1,795 ",32.1,14.1,25.2
Printing and related support activities," 21,035 ",31.3,15.9,26.3
Petroleum and coal products, 693 ,8.9,3.9,8.8
Chemicals," 7,759 ",41.2,20.2,34.8
Plastics and rubber products," 7,811 ",36.3,16.8,32.1
Nonmetallic mineral products," 7,758 ",30.3,12.3,26.9
Primary metals," 2,437 ",33.3,14.0,29.7
Fabricated metal products," 48,470 ",30.7,12.6,27.5
Machinery," 18,350 ",41.1,22.8,35.5
Computer and electronic products," 8,851 ",51.1,33.1,41.7
"Electrical equipment, appliances, and components"," 3,874 ",44.5,26.9,35.5
Transportation equipment," 7,638 ",34.9,19.8,29.1
Furniture and related products," 12,927 ",26.6,12.0,23.2
Miscellaneous ," 20,251 ",32.9,17.5,27.5
"Agriculture, forestry, fishing, and hunting"," 22,732 ",17.4,5.8,14.9
"Mining, extraction, and support activities"," 15,475 ",12.3,3.4,11.7
Utilities," 2,615 ",20.8,7.1,18.8
Construction," 627,340 ",18.0,6.4,15.4
Wholesale trade," 253,680 ",34.4,16.1,28.7
Retail trade," 554,596 ",27.0,11.7,22.7
Transportation and warehousing," 157,728 ",26.6,7.5,24.7
Information," 62,834 ",38.5,24.8,31.8
Finance and insurance," 203,913 ",26.1,10.5,22.2
Real estate and rental and leasing," 266,098 ",20.1,7.0,17.9
"Professional, scientific, and technical services"," 704,191 ",29.0,13.3,25.6
Management of companies and enterprises," 2,391 ",21.0,7.1,17.6
Administrative and support and waste management and remediation services," 285,195 ",22.4,9.3,18.9
Educational services," 55,306 ",33.1,18.3,26.9
Health care and social assistance," 526,683 ",24.6,11.4,20.7
"Arts, entertainment, and recreation"," 90,036 ",22.9,11.1,18.3
Accommodation and food services," 464,061 ",24.3,8.9,21.4
Other services," 345,543 ",22.4,11.0,18.0